Country,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Age Group,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Road Condition,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Region,Population Density
Australia,2024,July,Wednesday,Evening,Rural,Main Road,Rainy,312.536316941446,4,72,41-60,Female,0.22629170644276,1,Moderate,1,1,Minor,18,3,40.3183642783096,6580.34445670833,Icy,Distracted Driving,6,40207.0413324896,82439.3704704442,North America,3120.82214970577
Australia,2024,January,Wednesday,Afternoon,Urban,Street,Rainy,382.582311291265,1,37,<18,Female,0.113538370850943,1,Moderate,2,1,Severe,3,0,38.1738485815112,3541.9520516952,Icy,Weather,0,27646.7338023221,29118.5270016996,Australia,3821.89896938724
Australia,2024,July,Wednesday,Evening,Rural,Highway,Rainy,161.586272651952,2,65,18-25,Female,0.101327714333686,1,Poor,2,1,Moderate,4,0,40.8655697981001,3374.92229922329,Icy,Speeding,0,30737.5794401394,97338.3859606952,South America,1385.67531632382
Australia,2024,July,Wednesday,Morning,Rural,Main Road,Rainy,160.033797291047,4,40,18-25,Female,0.114093466400338,1,Good,1,1,Minor,3,2,54.9841748078527,4347.64388565486,Dry,Weather,2,35206.8544202937,62545.7162836435,Europe,4300.53707482826
Australia,2024,October,Wednesday,Afternoon,Rural,Street,Rainy,270.561411657116,2,36,18-25,Male,0.162544520344784,0,Poor,2,2,Minor,7,0,13.6092881146014,363.09452427662,Snow-covered,Speeding,7,13413.7460359071,19041.1592950101,Australia,2402.2089116648
Australia,2024,May,Wednesday,Night,Rural,Highway,Rainy,449.730398020898,4,100,41-60,Male,0.146291630355057,0,Good,2,2,Minor,9,0,57.7226490748,4302.81738456267,Icy,Weather,8,3392.05111387436,41412.1074696516,South America,3487.30476319592
Australia,2024,May,Wednesday,Night,Urban,Street,Rainy,382.443293867014,3,106,26-40,Male,0.170144612197943,1,Moderate,0,0,Severe,14,2,50.4642687170783,9149.26591461025,Snow-covered,Weather,8,36522.9223784216,54594.7238310449,South America,2953.95413236327
Australia,2024,October,Wednesday,Evening,Rural,Highway,Rainy,479.583025044052,4,72,<18,Male,0.177330711668331,1,Good,2,1,Severe,18,2,17.8331668417664,5405.45477909446,Snow-covered,Distracted Driving,9,3517.81740247411,39165.6714756345,South America,4497.30707213208
Australia,2024,April,Wednesday,Morning,Urban,Highway,Rainy,313.280992882857,4,66,18-25,Male,0.0345508399377583,1,Poor,1,0,Minor,14,2,10.8333466497902,5140.80989313537,Wet,Speeding,9,28138.3027387618,39263.4080159782,Europe,1106.68016108668
Australia,2024,September,Wednesday,Morning,Urban,Street,Rainy,56.4006036724761,4,40,61+,Male,0.0569459601952002,0,Moderate,2,1,Moderate,5,4,33.054725645216,1824.36936263873,Icy,Distracted Driving,9,43595.7951281922,19939.8513791724,South America,873.354812398408
Australia,2024,August,Wednesday,Night,Rural,Highway,Rainy,182.451273626611,3,67,18-25,Female,0.228100628522752,1,Poor,1,0,Minor,15,0,56.9151946588327,3589.47548458653,Snow-covered,Speeding,4,41492.0657942482,61772.5516901674,Europe,3788.70342861184
Australia,2024,August,Wednesday,Afternoon,Rural,Highway,Rainy,469.944390625183,3,39,61+,Female,0.0126436808717714,1,Poor,2,2,Moderate,1,2,41.5233778214753,8828.52178490842,Snow-covered,Weather,2,33392.3649702815,23598.5598337646,North America,3403.77945830452
Australia,2024,August,Wednesday,Morning,Rural,Street,Rainy,157.907675821647,2,114,26-40,Female,0.0739144344820268,1,Good,0,0,Moderate,15,4,43.3259646637103,7675.27718241213,Icy,Mechanical Failure,4,4386.49948326071,25893.7573796529,North America,4923.56857504542
Australia,2024,November,Wednesday,Night,Rural,Main Road,Rainy,338.905270728166,4,63,41-60,Male,0.176147045875267,1,Poor,1,2,Moderate,8,1,30.1686295614613,4070.8976384612,Snow-covered,Speeding,8,21659.4334211399,66393.8572383092,Europe,111.808246960226
Australia,2024,March,Wednesday,Afternoon,Urban,Main Road,Foggy,138.249260203401,3,115,18-25,Male,0.239134609424924,0,Good,1,2,Severe,7,1,14.0996649455459,7168.62780514214,Snow-covered,Mechanical Failure,8,36457.5675763029,1795.20690360845,North America,4884.15683348443
Australia,2024,October,Wednesday,Afternoon,Urban,Main Road,Foggy,393.412745079942,1,35,41-60,Female,0.176315455221531,1,Moderate,2,2,Minor,5,1,54.1266591972031,9751.68821859803,Icy,Distracted Driving,5,25969.2371937487,11182.7209790705,Asia,2422.20422564262
Australia,2024,December,Wednesday,Afternoon,Rural,Street,Foggy,372.158972855073,3,60,61+,Male,0.21116252649193,1,Poor,1,2,Minor,14,3,5.47783349139926,1634.90339566039,Dry,Mechanical Failure,3,46049.3331574717,73473.656399083,South America,2303.39091265582
Australia,2024,March,Wednesday,Morning,Rural,Highway,Foggy,303.211302469582,3,62,61+,Female,0.0059184129309422,1,Moderate,0,2,Moderate,12,1,59.5439102296906,2872.25305303849,Dry,Speeding,6,31609.6452913498,65686.3641356099,South America,831.305553199588
Australia,2024,August,Wednesday,Afternoon,Rural,Highway,Foggy,60.6817877547019,4,59,<18,Female,0.22914044994552,1,Moderate,1,1,Moderate,8,1,56.2963282306881,9115.0120772166,Icy,Weather,0,17523.540238368,48023.4585771117,Australia,4756.82195714272
Australia,2024,January,Wednesday,Evening,Urban,Highway,Foggy,203.114253224209,1,113,26-40,Male,0.028688481600286,1,Good,1,1,Minor,11,2,16.4008301502865,4159.19467787255,Dry,Weather,9,42196.6534447386,34920.880080012,Australia,4274.15673358912
Australia,2024,February,Wednesday,Morning,Urban,Main Road,Foggy,273.607527851741,1,50,26-40,Male,0.200056688298566,0,Good,2,0,Minor,13,0,21.6733884654899,3593.98271562121,Wet,Drunk Driving,9,26227.1592489761,22455.4822588375,Europe,841.729479822973
Australia,2024,October,Wednesday,Morning,Urban,Highway,Foggy,496.062404632005,1,44,<18,Female,0.0573613840455687,0,Moderate,0,2,Severe,13,2,24.1337843069096,1895.65848156358,Dry,Weather,5,34060.5290719913,62752.2630477063,North America,977.906885475986
Australia,2024,May,Wednesday,Afternoon,Urban,Street,Foggy,452.076886591208,4,117,61+,Female,0.0328154491915492,0,Good,1,1,Severe,3,1,26.7172609058181,3321.13593286025,Wet,Distracted Driving,4,22084.6151342595,82770.2776481557,Australia,3778.09849983079
Australia,2024,October,Wednesday,Evening,Rural,Street,Foggy,345.930725848836,3,115,18-25,Female,0.0322521722390524,0,Poor,1,0,Moderate,7,2,13.0973728051752,6766.39026513737,Dry,Speeding,9,26881.3124151659,67354.8214043672,South America,4697.29305025576
Australia,2024,March,Wednesday,Night,Rural,Street,Foggy,276.077302162523,1,79,<18,Female,0.103853945897231,0,Poor,0,0,Severe,1,1,33.1841979687604,2808.81207295881,Snow-covered,Weather,2,46850.0312817524,86493.4549454879,Australia,3825.9877069302
Australia,2024,June,Wednesday,Night,Urban,Highway,Foggy,324.638093654687,1,46,61+,Male,0.0511490199669049,0,Good,2,2,Moderate,11,4,34.6480450556862,4849.23251995006,Wet,Speeding,0,35238.4956363522,97234.047251114,Asia,1259.32629800352
Australia,2024,May,Wednesday,Night,Rural,Main Road,Foggy,89.3369607961963,1,40,<18,Female,0.215176948363691,1,Poor,2,0,Severe,6,2,59.9375845313714,2200.92907372363,Wet,Weather,2,45940.5015511474,54913.7612435479,Asia,2327.25296059762
Australia,2024,March,Wednesday,Morning,Urban,Highway,Foggy,313.042283950995,1,46,18-25,Male,0.137600345875281,1,Moderate,1,0,Moderate,17,4,20.3317184950862,6020.45859687035,Icy,Distracted Driving,9,37320.0483882431,43118.8175649195,North America,876.038598598178
Australia,2024,January,Wednesday,Morning,Rural,Highway,Foggy,246.685721614037,4,89,<18,Male,0.143694142017446,0,Poor,2,1,Severe,7,1,45.2280738183869,6212.15663436756,Snow-covered,Drunk Driving,3,33046.2378892087,31140.353342175,Asia,3601.89164105384
Australia,2024,August,Wednesday,Morning,Rural,Highway,Foggy,483.288770832345,2,57,41-60,Female,0.0948564558624666,1,Good,0,2,Moderate,2,1,58.5351389661323,4369.94612508975,Dry,Mechanical Failure,9,14033.7953337728,82126.5214929957,Europe,2174.70320763431
Australia,2024,November,Wednesday,Morning,Urban,Street,Foggy,364.261678172673,3,112,18-25,Male,0.176657502901069,1,Moderate,1,2,Severe,9,2,32.674193670546,387.549492280972,Wet,Weather,9,37398.1817446984,70494.7547361726,Europe,4470.50554996078
Australia,2024,October,Wednesday,Afternoon,Rural,Main Road,Foggy,70.8691806353562,1,88,41-60,Female,0.131346069949067,0,Moderate,2,1,Moderate,9,1,21.0824375145831,9631.54601202774,Snow-covered,Distracted Driving,6,19367.1364815395,89069.1815830849,Europe,2536.23257450727
Australia,2024,August,Wednesday,Morning,Rural,Main Road,Clear,315.2317726289,2,118,41-60,Female,0.20076312350322,0,Poor,2,1,Severe,4,2,35.0079034575897,9140.74320534384,Dry,Mechanical Failure,0,49902.2999741757,80735.6143567069,North America,4734.13034818955
Australia,2024,November,Wednesday,Afternoon,Rural,Street,Clear,334.456732790541,1,42,18-25,Female,0.115134353273871,1,Good,2,2,Severe,0,0,47.1509468054895,1925.36793286485,Icy,Mechanical Failure,5,37230.4965876423,8081.42044667285,Europe,2125.03364031909
Australia,2024,September,Wednesday,Evening,Rural,Street,Clear,69.5584754654542,1,65,61+,Male,0.0261724550324392,0,Good,1,2,Severe,1,1,44.2489201098012,6890.52995097188,Wet,Mechanical Failure,4,17192.6642696013,50614.9612271336,Asia,2903.60538198658
Australia,2024,October,Wednesday,Evening,Rural,Street,Clear,496.132719891188,4,115,<18,Male,0.108900466381453,1,Moderate,1,0,Severe,4,2,29.8551386106265,2387.55328606803,Wet,Speeding,6,44235.4231499319,16733.478538834,North America,4438.68441261925
Australia,2024,April,Wednesday,Afternoon,Rural,Main Road,Clear,168.74099409599,4,57,41-60,Male,0.106544063421899,1,Moderate,1,1,Minor,14,4,50.9438796547673,2340.25493422251,Snow-covered,Drunk Driving,1,8943.65862541711,59835.7739843918,Australia,4180.38767686957
Australia,2024,August,Wednesday,Evening,Urban,Main Road,Clear,499.054580047135,1,41,26-40,Female,0.194664601016316,1,Good,2,1,Severe,14,3,35.744945162756,6806.15213716351,Dry,Speeding,7,1818.4181473565,63276.2962375264,Europe,1284.5769473831
Australia,2024,June,Wednesday,Night,Rural,Highway,Clear,316.047141654421,3,58,<18,Male,0.221580473323367,0,Poor,0,2,Severe,8,2,56.6693580432253,5039.26524725927,Wet,Drunk Driving,1,35834.301829178,93944.4261015498,Asia,4457.81415446936
Australia,2024,September,Wednesday,Afternoon,Urban,Main Road,Clear,371.116539909902,2,56,41-60,Female,0.164612049308837,0,Good,0,2,Moderate,18,1,36.3945052436175,4823.82006065819,Wet,Speeding,2,5186.08121266214,7858.42961261102,North America,518.040387077199
Australia,2024,June,Wednesday,Morning,Rural,Main Road,Clear,468.56671414054,1,51,<18,Male,0.162193689097348,0,Good,0,2,Minor,17,2,59.7812810502355,2373.42051688564,Icy,Speeding,2,27939.7023515501,62105.140881644,Australia,587.276135473726
Australia,2024,November,Wednesday,Night,Urban,Main Road,Clear,223.198028429992,3,67,41-60,Female,0.0370281570158719,0,Good,1,0,Minor,10,3,21.981093618629,3108.63184173868,Wet,Speeding,2,28834.9297970144,79949.4911614125,Asia,425.706331656682
Australia,2024,January,Wednesday,Night,Urban,Street,Clear,406.578737795935,2,46,41-60,Male,0.0493496684692043,1,Good,1,0,Minor,6,2,32.0523841400552,6525.02348910287,Wet,Drunk Driving,0,7108.12226424485,5561.00374963708,Australia,1418.65254746603
Australia,2024,September,Wednesday,Morning,Rural,Main Road,Clear,472.641118068275,1,114,<18,Female,0.0731367533834722,1,Poor,2,0,Moderate,10,4,31.9027275178866,2833.22532719278,Wet,Distracted Driving,3,22929.6964059162,21255.3347838306,South America,454.006321026994
Australia,2024,December,Wednesday,Night,Rural,Street,Clear,409.045700988056,1,100,18-25,Female,0.0407527330112164,1,Moderate,2,2,Severe,19,0,15.0454984959154,9309.55056874674,Wet,Distracted Driving,5,6048.4336204524,31384.7905693961,Asia,1949.25752553553
Australia,2024,February,Wednesday,Evening,Urban,Highway,Clear,216.342181992003,1,68,18-25,Male,0.0869235415023671,1,Poor,2,2,Severe,17,0,51.3997230854402,9331.79802550147,Icy,Drunk Driving,5,4491.04928671883,21051.4132915167,South America,1436.45797161157
Australia,2024,December,Wednesday,Afternoon,Urban,Main Road,Clear,274.6046372845,2,76,41-60,Female,0.217912190977245,0,Moderate,2,2,Moderate,6,3,16.2486273716625,3953.94578438798,Wet,Speeding,5,40580.5195247763,35817.758277656,North America,4075.518586107
Australia,2024,January,Wednesday,Night,Urban,Main Road,Clear,122.691323326964,2,94,18-25,Female,0.150322751320393,1,Poor,0,0,Moderate,19,1,58.6389247389598,2057.91778257305,Snow-covered,Mechanical Failure,1,35729.6050235343,21090.7776349337,South America,506.408487713509
Australia,2024,December,Tuesday,Afternoon,Rural,Highway,Windy,298.915033717379,3,56,41-60,Female,0.0973344332301196,0,Poor,0,1,Severe,1,2,39.7039322553802,9657.30596808068,Icy,Speeding,7,42129.5711015341,2170.68900029985,Europe,315.647726595949
Australia,2024,March,Tuesday,Evening,Urban,Highway,Windy,308.675659042047,2,112,61+,Male,0.0100653255223798,0,Moderate,0,2,Minor,14,0,40.8992899409175,9564.35883647846,Dry,Distracted Driving,4,42939.5064640648,47123.1520528271,Australia,4489.50017832871
Australia,2024,November,Tuesday,Night,Urban,Street,Windy,78.7041481688395,4,119,26-40,Male,0.0612755098773963,0,Moderate,0,2,Moderate,6,1,16.7923392459148,4931.20407413961,Icy,Mechanical Failure,9,30060.4109993843,14284.465520402,North America,1269.68641957463
Australia,2024,June,Tuesday,Night,Rural,Street,Windy,359.753825466068,4,102,26-40,Female,0.0859962910853676,1,Poor,2,2,Minor,9,2,29.5306014531783,7898.71774705452,Icy,Speeding,8,28881.1852359516,43014.0957340785,Australia,1053.23401776253
Australia,2024,March,Tuesday,Afternoon,Rural,Main Road,Windy,418.125241089333,2,72,61+,Female,0.122950655467691,1,Moderate,0,0,Minor,7,4,31.4722012328994,5453.89155325895,Dry,Mechanical Failure,4,12405.2697047524,85964.5779992684,Asia,3273.96584805263
Australia,2024,March,Tuesday,Evening,Urban,Street,Windy,78.6066967155298,1,73,61+,Female,0.109420329992583,0,Poor,1,2,Moderate,11,3,19.5148591029574,9803.82288991258,Dry,Weather,4,37746.4392673035,70299.892219772,Europe,4411.64023305177
Australia,2024,November,Tuesday,Night,Urban,Street,Windy,486.762135674825,4,104,41-60,Male,0.0049830714082649,0,Poor,2,1,Moderate,2,2,39.2804662871345,5540.71556139059,Dry,Weather,7,36546.8432051129,57665.6798707189,Europe,2667.19015598317
Australia,2024,February,Tuesday,Evening,Urban,Street,Windy,420.798365017004,3,80,18-25,Female,0.090222000715923,1,Poor,2,2,Minor,7,0,58.0934099483333,8782.36670950999,Icy,Weather,9,41178.7836187843,5014.07435044418,Asia,4520.92823086436
Australia,2024,November,Tuesday,Evening,Rural,Street,Windy,215.349650861467,1,59,26-40,Female,0.0143643954837208,0,Good,2,0,Severe,16,4,37.0614899414448,7162.63277549178,Snow-covered,Weather,3,1300.62078125586,27107.2331498122,Asia,1968.36314987858
Australia,2024,November,Tuesday,Evening,Rural,Main Road,Windy,401.780555744624,3,102,26-40,Male,0.0983088880531382,1,Good,2,0,Moderate,11,1,32.8636490291005,7238.64885001777,Icy,Speeding,2,35302.3587914499,67562.0397248974,North America,1288.7347049175
Australia,2024,July,Tuesday,Morning,Urban,Highway,Windy,367.199702259949,3,52,26-40,Female,0.15683767843601,1,Moderate,1,2,Minor,6,2,13.166083923326,2083.49804398003,Snow-covered,Weather,0,31577.2684194712,66138.0291803191,Australia,1189.10290035369
Australia,2024,February,Tuesday,Night,Urban,Main Road,Windy,280.770570150958,4,99,<18,Male,0.220169313462547,1,Good,1,0,Severe,1,2,46.8932128421059,5477.49989106719,Dry,Weather,6,36722.2586236291,82514.5572076996,Australia,1986.03743004836
Australia,2024,February,Tuesday,Evening,Urban,Highway,Windy,270.379251899458,2,47,<18,Female,0.148283789197128,0,Poor,1,2,Minor,3,3,57.374358759247,2569.75626856616,Snow-covered,Drunk Driving,0,29565.4758186664,68322.2406080201,South America,2585.4246148511
Australia,2024,February,Tuesday,Morning,Urban,Main Road,Windy,232.825908319053,1,51,18-25,Female,0.223847730393581,0,Moderate,2,2,Severe,9,3,58.5026975600525,1543.41882434301,Snow-covered,Drunk Driving,4,5360.62711408943,49285.2169108724,Europe,4590.90386268721
Australia,2024,November,Tuesday,Afternoon,Urban,Highway,Windy,90.553502264187,2,30,<18,Female,0.244574627379633,0,Moderate,2,0,Moderate,0,0,18.3227315338855,8317.33379126245,Wet,Weather,0,3068.4308796957,58060.6887508408,North America,4730.85657113
Australia,2024,November,Tuesday,Night,Rural,Main Road,Snowy,368.790311562865,1,70,61+,Female,0.0539476076044091,1,Moderate,1,2,Severe,10,2,57.0003854688058,3146.14401783867,Icy,Speeding,8,10745.7576751427,27158.4398830879,North America,2292.3302972413
Australia,2024,March,Tuesday,Evening,Urban,Main Road,Snowy,95.3030384392026,1,69,<18,Female,0.088357211198222,0,Moderate,1,2,Minor,8,4,59.707822825631,1702.88291738854,Dry,Mechanical Failure,1,6256.71638446546,18767.4353586137,South America,3933.19348524964
Australia,2024,July,Tuesday,Evening,Urban,Highway,Snowy,215.508088618818,2,30,61+,Female,0.106024022284693,1,Poor,2,2,Severe,3,1,5.43388018034677,1382.59108117526,Wet,Speeding,2,45966.4787844059,85792.3314977655,Europe,546.894937764933
Australia,2024,January,Tuesday,Evening,Urban,Highway,Snowy,74.3642106570262,1,50,61+,Female,0.136265193711507,0,Poor,0,1,Moderate,17,4,55.5868883324279,1670.45398520509,Snow-covered,Speeding,9,48964.7135115254,12829.5203875391,Asia,4125.35744940209
Australia,2024,November,Tuesday,Afternoon,Urban,Highway,Snowy,255.292938635805,4,67,41-60,Male,0.131987762149605,0,Moderate,2,2,Moderate,11,0,59.3969956254246,8496.21901871617,Dry,Mechanical Failure,1,28452.3607000165,23715.719271096,North America,4550.71487335989
Australia,2024,January,Tuesday,Evening,Rural,Street,Snowy,73.3357908880086,3,108,26-40,Female,0.103535235085892,1,Poor,1,2,Moderate,10,1,17.758490337156,3291.15420249842,Dry,Distracted Driving,0,9751.90501105599,38704.1269812478,South America,1226.44202161267
